Date,Year,Quarter,Quarter_Number,Month_Number,Month_Name,Month_Short,Week_Number,Day_Of_Month,Day_Of_Week_Number,Day_Name,Is_Weekend,Season_Name
2024-01-01,2024,Q1,1,1,January,Jan,1,1,1,Monday,0,Winter
2024-01-02,2024,Q1,1,1,January,Jan,1,2,2,Tuesday,0,Winter
2024-01-03,2024,Q1,1,1,January,Jan,1,3,3,Wednesday,0,Winter
2024-01-04,2024,Q1,1,1,January,Jan,1,4,4,Thursday,0,Winter
2024-01-05,2024,Q1,1,1,January,Jan,1,5,5,Friday,0,Winter
2024-01-06,2024,Q1,1,1,January,Jan,1,6,6,Saturday,1,Winter
2024-01-07,2024,Q1,1,1,January,Jan,1,7,7,Sunday,1,Winter
2024-01-08,2024,Q1,1,1,January,Jan,2,8,1,Monday,0,Winter
2024-01-09,2024,Q1,1,1,January,Jan,2,9,2,Tuesday,0,Winter
2024-01-10,2024,Q1,1,1,January,Jan,2,10,3,Wednesday,0,Winter
2024-01-11,2024,Q1,1,1,January,Jan,2,11,4,Thursday,0,Winter
2024-01-12,2024,Q1,1,1,January,Jan,2,12,5,Friday,0,Winter
2024-01-13,2024,Q1,1,1,January,Jan,2,13,6,Saturday,1,Winter
2024-01-14,2024,Q1,1,1,January,Jan,2,14,7,Sunday,1,Winter
2024-01-15,2024,Q1,1,1,January,Jan,3,15,1,Monday,0,Winter
2024-01-16,2024,Q1,1,1,January,Jan,3,16,2,Tuesday,0,Winter
2024-01-17,2024,Q1,1,1,January,Jan,3,17,3,Wednesday,0,Winter
2024-01-18,2024,Q1,1,1,January,Jan,3,18,4,Thursday,0,Winter
2024-01-19,2024,Q1,1,1,January,Jan,3,19,5,Friday,0,Winter
2024-01-20,2024,Q1,1,1,January,Jan,3,20,6,Saturday,1,Winter
2024-01-21,2024,Q1,1,1,January,Jan,3,21,7,Sunday,1,Winter
2024-01-22,2024,Q1,1,1,January,Jan,4,22,1,Monday,0,Winter
2024-01-23,2024,Q1,1,1,January,Jan,4,23,2,Tuesday,0,Winter
2024-01-24,2024,Q1,1,1,January,Jan,4,24,3,Wednesday,0,Winter
2024-01-25,2024,Q1,1,1,January,Jan,4,25,4,Thursday,0,Winter
2024-01-26,2024,Q1,1,1,January,Jan,4,26,5,Friday,0,Winter
2024-01-27,2024,Q1,1,1,January,Jan,4,27,6,Saturday,1,Winter
2024-01-28,2024,Q1,1,1,January,Jan,4,28,7,Sunday,1,Winter
2024-01-29,2024,Q1,1,1,January,Jan,5,29,1,Monday,0,Winter
2024-01-30,2024,Q1,1,1,January,Jan,5,30,2,Tuesday,0,Winter
2024-01-31,2024,Q1,1,1,January,Jan,5,31,3,Wednesday,0,Winter
2024-02-01,2024,Q1,1,2,February,Feb,5,1,4,Thursday,0,Winter
2024-02-02,2024,Q1,1,2,February,Feb,5,2,5,Friday,0,Winter
2024-02-03,2024,Q1,1,2,February,Feb,5,3,6,Saturday,1,Winter
2024-02-04,2024,Q1,1,2,February,Feb,5,4,7,Sunday,1,Winter
2024-02-05,2024,Q1,1,2,February,Feb,6,5,1,Monday,0,Winter
2024-02-06,2024,Q1,1,2,February,Feb,6,6,2,Tuesday,0,Winter
2024-02-07,2024,Q1,1,2,February,Feb,6,7,3,Wednesday,0,Winter
2024-02-08,2024,Q1,1,2,February,Feb,6,8,4,Thursday,0,Winter
2024-02-09,2024,Q1,1,2,February,Feb,6,9,5,Friday,0,Winter
2024-02-10,2024,Q1,1,2,February,Feb,6,10,6,Saturday,1,Winter
2024-02-11,2024,Q1,1,2,February,Feb,6,11,7,Sunday,1,Winter
2024-02-12,2024,Q1,1,2,February,Feb,7,12,1,Monday,0,Winter
2024-02-13,2024,Q1,1,2,February,Feb,7,13,2,Tuesday,0,Winter
2024-02-14,2024,Q1,1,2,February,Feb,7,14,3,Wednesday,0,Winter
2024-02-15,2024,Q1,1,2,February,Feb,7,15,4,Thursday,0,Winter
2024-02-16,2024,Q1,1,2,February,Feb,7,16,5,Friday,0,Winter
2024-02-17,2024,Q1,1,2,February,Feb,7,17,6,Saturday,1,Winter
2024-02-18,2024,Q1,1,2,February,Feb,7,18,7,Sunday,1,Winter
2024-02-19,2024,Q1,1,2,February,Feb,8,19,1,Monday,0,Winter
2024-02-20,2024,Q1,1,2,February,Feb,8,20,2,Tuesday,0,Winter
2024-02-21,2024,Q1,1,2,February,Feb,8,21,3,Wednesday,0,Winter
2024-02-22,2024,Q1,1,2,February,Feb,8,22,4,Thursday,0,Winter
2024-02-23,2024,Q1,1,2,February,Feb,8,23,5,Friday,0,Winter
2024-02-24,2024,Q1,1,2,February,Feb,8,24,6,Saturday,1,Winter
2024-02-25,2024,Q1,1,2,February,Feb,8,25,7,Sunday,1,Winter
2024-02-26,2024,Q1,1,2,February,Feb,9,26,1,Monday,0,Winter
2024-02-27,2024,Q1,1,2,February,Feb,9,27,2,Tuesday,0,Winter
2024-02-28,2024,Q1,1,2,February,Feb,9,28,3,Wednesday,0,Winter
2024-02-29,2024,Q1,1,2,February,Feb,9,29,4,Thursday,0,Winter
2024-03-01,2024,Q1,1,3,March,Mar,9,1,5,Friday,0,Spring
2024-03-02,2024,Q1,1,3,March,Mar,9,2,6,Saturday,1,Spring
2024-03-03,2024,Q1,1,3,March,Mar,9,3,7,Sunday,1,Spring
2024-03-04,2024,Q1,1,3,March,Mar,10,4,1,Monday,0,Spring
2024-03-05,2024,Q1,1,3,March,Mar,10,5,2,Tuesday,0,Spring
2024-03-06,2024,Q1,1,3,March,Mar,10,6,3,Wednesday,0,Spring
2024-03-07,2024,Q1,1,3,March,Mar,10,7,4,Thursday,0,Spring
2024-03-08,2024,Q1,1,3,March,Mar,10,8,5,Friday,0,Spring
2024-03-09,2024,Q1,1,3,March,Mar,10,9,6,Saturday,1,Spring
2024-03-10,2024,Q1,1,3,March,Mar,10,10,7,Sunday,1,Spring
2024-03-11,2024,Q1,1,3,March,Mar,11,11,1,Monday,0,Spring
2024-03-12,2024,Q1,1,3,March,Mar,11,12,2,Tuesday,0,Spring
2024-03-13,2024,Q1,1,3,March,Mar,11,13,3,Wednesday,0,Spring
2024-03-14,2024,Q1,1,3,March,Mar,11,14,4,Thursday,0,Spring
2024-03-15,2024,Q1,1,3,March,Mar,11,15,5,Friday,0,Spring
2024-03-16,2024,Q1,1,3,March,Mar,11,16,6,Saturday,1,Spring
