Feature,Importance,Importance_Percent
Demand_Rolling_Mean_14,0.2950054,29.5
Promotion_Flag,0.20059761,20.06
Demand_Rolling_Mean_7,0.17340583,17.34
Discount_Percent,0.0973845,9.74
Demand_Rolling_Mean_28,0.058200877,5.82
DayOfWeek,0.05156405,5.16
Demand_Lag_7,0.011165967,1.12
Demand_Lag_1,0.006189354,0.62
Demand_Lag_28,0.0051678875,0.52
Price_Ratio,0.0050271335,0.5
Month,0.0048030834,0.48
Product_ID_PROD_11,0.0045245998,0.45
Season,0.0043335124,0.43
Product_ID_PROD_05,0.004004565,0.4
Our_Price,0.0036397602,0.36
Category_Groceries,0.0035715054,0.36
Category_Apparel,0.0035618846,0.36
Demand_Lag_14,0.0035464694,0.35
Price_Premium_Percent,0.003514901,0.35
Category_Electronics,0.0031647955,0.32
Store_ID_STORE_04,0.003075162,0.31
Quarter,0.0026509017,0.27
Is_Weekend,0.0026167207,0.26
Region_East,0.0025255322,0.25
Demand_Rolling_Std_7,0.002364875,0.24
Price_Difference,0.002279571,0.23
Product_ID_PROD_19,0.0022665616,0.23
Product_ID_PROD_04,0.0022140022,0.22
Product_ID_PROD_09,0.0021901617,0.22
Store_ID_STORE_03,0.0021767276,0.22
Product_ID_PROD_06,0.0021335674,0.21
Product_ID_PROD_17,0.0021003806,0.21
Product_ID_PROD_18,0.0020730677,0.21
Competitor_Price,0.0020656565,0.21
Category_Health & Care,0.001870462,0.19
Product_ID_PROD_07,0.0018633205,0.19
Category_Home & Kitchen,0.0018287973,0.18
Product_ID_PROD_01,0.0015630296,0.16
Product_ID_PROD_16,0.0015497778,0.15
Region_West,0.0014997056,0.15
Product_ID_PROD_03,0.0014040831,0.14
Product_ID_PROD_15,0.0014018134,0.14
Product_ID_PROD_20,0.0013590426,0.14
Region_South,0.0013372486,0.13
Product_ID_PROD_08,0.0012928982,0.13
Product_ID_PROD_02,0.0012874464,0.13
Product_ID_PROD_12,0.0011988989,0.12
Region_North,0.0011844536,0.12
Store_ID_STORE_01,0.0011165598,0.11
Product_ID_PROD_10,0.0010718773,0.11
Product_ID_PROD_13,0.0010339777,0.1
Store_ID_STORE_02,0.0010300666,0.1
Product_ID_PROD_14,0.0,0.0
