Product_ID,Product_Name,Category,Store_ID,Store_Name,Current_Price,Competitor_Price,Recommended_Price,Price_Change_Percent,Competitor_Gap_Percent,Current_Predicted_Demand,Recommended_Predicted_Demand,Demand_Change_Percent,Current_Expected_Revenue,Recommended_Expected_Revenue,Revenue_Improvement_Percent,Unit_Cost,Current_Expected_Profit,Recommended_Expected_Profit,Confidence_Level,Confidence_Rationale,Recommendation_Reason,Guardrail_Status,Profit_Lift_Percent
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_01,Delhi Flagship Metro,2999.0,3257.52,3268.91,9.0,0.35,76.98,73.18,-4.94,230863.6,239211.13,3.62,1753.43,95884.22,110899.26,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 3268.91 captures margin while keeping competitor gap at 0.3%, yielding expected revenue lift of +3.62%.",PASSED,15.66
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_02,Bengaluru Tech Park Store,2999.0,2950.15,3088.97,3.0,4.71,66.44,65.26,-1.78,199255.63,201577.28,1.17,1753.43,82756.53,87153.49,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 3088.97 captures margin while keeping competitor gap at 4.7%, yielding expected revenue lift of +1.17%.",PASSED,5.31
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_03,Mumbai High Street Mall,2999.0,3192.84,3268.91,9.0,2.38,84.26,81.96,-2.73,252703.96,267932.33,6.03,1753.43,104955.14,124214.52,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 3268.91 captures margin while keeping competitor gap at 2.4%, yielding expected revenue lift of +6.03%.",PASSED,18.35
PROD_01,Wireless Noise-Canceling Headphones,Electronics,STORE_04,Kolkata City Center,2699.1,3211.16,2942.02,9.0,-8.38,82.41,81.57,-1.02,222421.1,239977.74,7.89,1753.43,77928.55,96952.14,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 2942.02 captures margin while keeping competitor gap at -8.4%, yielding expected revenue lift of +7.89%.",PASSED,24.41
PROD_02,Smart Fitness Watch,Electronics,STORE_01,Delhi Flagship Metro,4274.05,4515.92,4701.45,10.0,4.11,61.59,61.47,-0.19,263258.6,288995.39,9.78,2577.31,104510.1,130569.65,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4701.45 captures margin while keeping competitor gap at 4.1%, yielding expected revenue lift of +9.78%.",PASSED,24.93
PROD_02,Smart Fitness Watch,Electronics,STORE_02,Bengaluru Tech Park Store,4049.1,4424.25,4424.25,9.27,0.0,65.71,65.36,-0.53,266055.76,289174.82,8.69,2577.31,96707.47,120718.44,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4424.25 captures margin while keeping competitor gap at 0.0%, yielding expected revenue lift of +8.69%.",PASSED,24.83
PROD_02,Smart Fitness Watch,Electronics,STORE_03,Mumbai High Street Mall,4499.0,4556.85,4768.94,6.0,4.65,51.23,50.31,-1.8,230481.18,239947.03,4.11,2577.31,98447.07,110270.86,MEDIUM,High historical observation density (>100); Candidate price requires extrapolation outside observed envelope; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4768.94 captures margin while keeping competitor gap at 4.7%, yielding expected revenue lift of +4.11%.",PASSED,12.01
PROD_02,Smart Fitness Watch,Electronics,STORE_04,Kolkata City Center,4274.05,4654.81,4701.45,10.0,1.0,48.05,47.67,-0.79,205383.98,224135.06,9.13,2577.31,81534.66,101265.41,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 4701.45 captures margin while keeping competitor gap at 1.0%, yielding expected revenue lift of +9.13%.",PASSED,24.2
PROD_03,Portable Bluetooth Speaker,Electronics,STORE_01,Delhi Flagship Metro,1499.0,1443.26,1513.99,1.0,4.9,99.03,99.14,0.11,148448.44,150094.52,1.11,850.55,64217.07,65772.37,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1513.99 captures margin while keeping competitor gap at 4.9%, yielding expected revenue lift of +1.11%.",PASSED,2.42
PROD_03,Portable Bluetooth Speaker,Electronics,STORE_02,Bengaluru Tech Park Store,1499.0,1489.29,1558.96,4.0,4.68,83.12,81.5,-1.95,124596.11,127057.13,1.98,850.55,53898.83,57736.27,HIGH,High historical observation density (>100); Candidate price falls within observed empirical distribution; Demand model demonstrated high validation explanatory power (R²=0.85),"Price increase to INR 1558.96 captures margin while keeping competitor gap at 4.7%, yielding expected revenue lift of +1.98%.",PASSED,7.12
