Product_ID,Product_Name,Category,Observations,Own_Price_Elasticity,Cross_Price_Elasticity,P_Value,R_Squared,Elasticity_Category
PROD_01,Wireless Noise-Canceling Headphones,Electronics,2812,-3.682,1.353,0.0,0.358,Elastic (Highly Price-Sensitive)
PROD_02,Smart Fitness Watch,Electronics,2812,-4.111,0.987,0.0,0.368,Elastic (Highly Price-Sensitive)
PROD_03,Portable Bluetooth Speaker,Electronics,2812,-3.665,1.077,0.0,0.338,Elastic (Highly Price-Sensitive)
PROD_04,Fast-Charging 20000mAh Power Bank,Electronics,2812,-3.523,0.597,0.0,0.289,Elastic (Highly Price-Sensitive)
PROD_05,Organic Basmati Rice 5kg,Groceries,2812,-2.24,-0.831,0.0,0.168,Elastic (Highly Price-Sensitive)
PROD_06,Extra Virgin Olive Oil 1L,Groceries,2812,-2.688,0.932,0.0,0.203,Elastic (Highly Price-Sensitive)
PROD_07,Premium Arabica Coffee Beans 500g,Groceries,2812,-2.577,1.31,0.0,0.245,Elastic (Highly Price-Sensitive)
PROD_08,Almond & Oat Milk 1L Pack of 3,Groceries,2812,-2.52,-0.918,0.0,0.201,Elastic (Highly Price-Sensitive)
PROD_09,Breathable Running Shoes,Apparel,2812,-3.51,-0.744,0.0,0.293,Elastic (Highly Price-Sensitive)
PROD_10,Classic Denim Jacket,Apparel,2812,-3.321,-0.382,0.0,0.276,Elastic (Highly Price-Sensitive)
PROD_11,Organic Cotton Crew-Neck T-Shirt,Apparel,2812,-3.355,-0.139,0.0,0.285,Elastic (Highly Price-Sensitive)
PROD_12,High-Waist Performance Yoga Pants,Apparel,2812,-3.401,1.097,0.0,0.297,Elastic (Highly Price-Sensitive)
PROD_13,Digital Touchscreen Air Fryer 4.5L,Home & Kitchen,2812,-3.542,0.172,0.0,0.301,Elastic (Highly Price-Sensitive)
PROD_14,High-Speed Smoothie Blender 900W,Home & Kitchen,2812,-3.391,0.17,0.0,0.282,Elastic (Highly Price-Sensitive)
PROD_15,Non-Stick Ceramic Cookware Set 3pc,Home & Kitchen,2812,-3.288,1.131,0.0,0.316,Elastic (Highly Price-Sensitive)
PROD_16,Stainless Steel Electric Kettle 1.8L,Home & Kitchen,2812,-3.465,0.727,0.0,0.278,Elastic (Highly Price-Sensitive)
PROD_17,Whey Isolate Protein Powder 1kg,Health & Care,2812,-2.732,-0.165,0.0,0.2,Elastic (Highly Price-Sensitive)
PROD_18,Daily Multivitamin & Mineral 60s,Health & Care,2812,-2.658,0.294,0.0,0.191,Elastic (Highly Price-Sensitive)
PROD_19,Vitamin C Radiance Face Serum 30ml,Health & Care,2812,-3.034,1.085,0.0,0.256,Elastic (Highly Price-Sensitive)
PROD_20,Broad-Spectrum Sunscreen Gel SPF50,Health & Care,2812,-2.74,-0.451,0.0,0.199,Elastic (Highly Price-Sensitive)
